"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 29 15:33:30 GMT 2021","Thu Jul 29 15:33:32 GMT 2021","1473","","APITest","","APITest","testValidURL","testValidURL()",""
"passed","Thu Jul 29 15:33:32 GMT 2021","Thu Jul 29 15:33:35 GMT 2021","2921","","ParabankTests","","ParabankTests","testRegistration","testRegistration()",""
